star,title,quote,rank,rate,link
,肖申克的救赎,希望让人自由。,1,"9.6,819309人评价",https://movie.douban.com/subject/1292052/
,这个杀手不太冷,怪蜀黍和小萝莉不得不说的故事。,2,"9.4,786565人评价",https://movie.douban.com/subject/1295644/
,霸王别姬,风华绝代。,3,"9.5,584466人评价",https://movie.douban.com/subject/1291546/
,阿甘正传,一部美国近现代史。,4,"9.4,674860人评价",https://movie.douban.com/subject/1292720/
,美丽人生,最美的谎言。,5,"9.5,391222人评价",https://movie.douban.com/subject/1292063/
,千与千寻,最好的宫崎骏，最好的久石让。 ,6,"9.2,626584人评价",https://movie.douban.com/subject/1291561/
,辛德勒的名单,拯救一个人，就是拯救整个世界。,7,"9.4,362308人评价",https://movie.douban.com/subject/1295124/
,泰坦尼克号,失去的才是永恒的。 ,8,"9.2,621023人评价",https://movie.douban.com/subject/1292722/
,盗梦空间,诺兰给了我们一场无法盗取的梦。,9,"9.2,728997人评价",https://movie.douban.com/subject/3541415/
,机器人总动员,小瓦力，大人生。,10,"9.3,478741人评价",https://movie.douban.com/subject/2131459/
,海上钢琴师,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,11,"9.2,574355人评价",https://movie.douban.com/subject/1292001/
,三傻大闹宝莱坞,英俊版憨豆，高情商版谢耳朵。,12,"9.1,634063人评价",https://movie.douban.com/subject/3793023/
,忠犬八公的故事,永远都不能忘记你所爱的人。,13,"9.2,427038人评价",https://movie.douban.com/subject/3011091/
,放牛班的春天,天籁一般的童声，是最接近上帝的存在。 ,14,"9.2,430010人评价",https://movie.douban.com/subject/1291549/
,大话西游之大圣娶亲,一生所爱。,15,"9.2,461830人评价",https://movie.douban.com/subject/1292213/
,教父,千万不要记恨你的对手，这样会让你失去理智。,16,"9.2,327887人评价",https://movie.douban.com/subject/1291841/
,龙猫,人人心中都有个龙猫，童年就永远不会消失。,17,"9.1,398824人评价",https://movie.douban.com/subject/1291560/
,楚门的世界,如果再也不能见到你，祝你早安，午安，晚安。,18,"9.0,425293人评价",https://movie.douban.com/subject/1292064/
,乱世佳人,Tomorrow is another day.,19,"9.2,259922人评价",https://movie.douban.com/subject/1300267/
,天堂电影院,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,20,"9.1,296906人评价",https://movie.douban.com/subject/1291828/
,当幸福来敲门,平民励志片。 ,21,"8.9,514888人评价",https://movie.douban.com/subject/1849031/
,触不可及,满满温情的高雅喜剧。,22,"9.1,348369人评价",https://movie.douban.com/subject/6786002/
,搏击俱乐部,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,23,"9.0,389715人评价",https://movie.douban.com/subject/1292000/
,十二怒汉,1957年的理想主义。 ,24,"9.3,161866人评价",https://movie.douban.com/subject/1293182/
,无间道,香港电影史上永不过时的杰作。,25,"9.0,376976人评价",https://movie.douban.com/subject/1307914/
